"lab","topicLabel","source"
"http://ROBOPROF.org/data#COMP6741_Lab02","java","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture04/slides/MiningSoftwareRepositories04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","java","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","quebec","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikipedia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikipedia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikipedia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikipedia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/worksheets/worksheet02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab01/COMP-474-2234-UU_Lab%2520Session_01_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/worksheets/worksheet03.pdf"
