course,courseTitle
http://ROBOPROF.org/data#PHIL616,PHIL 616: Selected Topics in the History and Philosophy of Science
http://ROBOPROF.org/data#ITAL480,ITAL 480: TUTORIAL I
http://ROBOPROF.org/data#COMM213,COMM 213: Computing and Visualization Tools for Business Analytics
http://ROBOPROF.org/data#FLIT488,FLIT 488: Création littéraire II
http://ROBOPROF.org/data#HIST340,HIST 340: Early Modern Britain and Ireland
http://ROBOPROF.org/data#THEA498,THEA 498: TOPICS IN THEATRE STUDIES
http://ROBOPROF.org/data#EXCI358,EXCI 358: Physiology of Exercise
http://ROBOPROF.org/data#COMP6651,COMP 6651: ALGORITHM DESIGN TECHNIQUES
http://ROBOPROF.org/data#ANTH6950,ANTH 6950: Thesis - Bibliographic Research
http://ROBOPROF.org/data#ENGL239,ENGL 239: TOPICS:CHILDREN'S LITERATURE
http://ROBOPROF.org/data#INDU6311,INDU 6311: DISCRETE SYSTEM SIMULATION
http://ROBOPROF.org/data#GEOG204,GEOG 204: Global Environmental Issues
http://ROBOPROF.org/data#SOCI491,SOCI 491: TOPICAL SEMINAR IN SOCI II
http://ROBOPROF.org/data#DART292,DART 292: BIO-INSP./DESIGN OF OBJECTS
http://ROBOPROF.org/data#INTE353,INTE 353: SELECT TOPICS 3RD WORLD STUD
http://ROBOPROF.org/data#LBCL394,LBCL 394: History of Science: Antiquity to the Renaissance
http://ROBOPROF.org/data#HIST476,HIST 476: ADV.STUDY IN 3RD WORLD
http://ROBOPROF.org/data#FMST409,FMST 409: Seminar in Women and Film
http://ROBOPROF.org/data#MANA446,MANA 446: Workplace Planning and Staffing
http://ROBOPROF.org/data#RELI332,RELI 332: Canadian Jewish Literature
http://ROBOPROF.org/data#AHSC610,AHSC 610: GROUP PROCESS INTERVENTION
http://ROBOPROF.org/data#BLDG6821,BLDG 6821: LEGAL ISSUES IN CONSTRUCTION
http://ROBOPROF.org/data#ANTH429,ANTH 429: The Thought of Karl Marx (also listed as SOCI 429)
http://ROBOPROF.org/data#AHSC322,AHSC 322: FUNDAMENTALS OF CHILD - AND YOUTH-CARE WORK
http://ROBOPROF.org/data#CHEM473,CHEM 473: Protein-Protein Interactions
http://ROBOPROF.org/data#ECON501,ECON 501: ADV MICROECONOMIC THEORY
http://ROBOPROF.org/data#INDU6611,INDU 6611: Applied Industrial Systems Analytics
http://ROBOPROF.org/data#HISW205,"HISW 205: History of Canada, Post-Confederation"
http://ROBOPROF.org/data#BLDG432,BLDG 432: Geology and Soil Mechanics
http://ROBOPROF.org/data#CHEM333,CHEM 333: Introduction to Quantum Theory
http://ROBOPROF.org/data#RELI811,RELI 811: TOPICS IN JUDAIC STUDIES
http://ROBOPROF.org/data#ARTH398,ARTH 398: SPEC.TOPICS IN ART & SOCIETY
http://ROBOPROF.org/data#THEO201,THEO 201: Introduction to Theological Studies
http://ROBOPROF.org/data#SOCI632,SOCI 632: SOCIOLOGY OF THE FAMILY
http://ROBOPROF.org/data#OPME610,OPME 610: OPEN MEDIA I
http://ROBOPROF.org/data#PROD312,PROD 312: THEATRE PRODUCTION II
