topic,topicLabel,dbpedia_link
http://ROBOPROF.org/data#Institute_of_Electrical_and_Electronics_Engineers,ieee,http://dbpedia.org/resource/Institute_of_Electrical_and_Electronics_Engineers
http://ROBOPROF.org/data#Franklin_Pierce,pierce,http://dbpedia.org/resource/Franklin_Pierce
http://ROBOPROF.org/data#Direct_current,dc,http://dbpedia.org/resource/Direct_current
http://ROBOPROF.org/data#Java_(programming_language),java,http://dbpedia.org/resource/Java_(programming_language)
http://ROBOPROF.org/data#IBM,ibm,http://dbpedia.org/resource/IBM
http://ROBOPROF.org/data#Square_matrix,matrices,http://dbpedia.org/resource/Square_matrix
http://ROBOPROF.org/data#Management,manager,http://dbpedia.org/resource/Management
http://ROBOPROF.org/data#Real-time_computing,hard realtime,http://dbpedia.org/resource/Real-time_computing
http://ROBOPROF.org/data#Ford_Focus,focus,http://dbpedia.org/resource/Ford_Focus
http://ROBOPROF.org/data#Class_diagram,class diagram,http://dbpedia.org/resource/Class_diagram
http://ROBOPROF.org/data#Object-oriented_programming,oo,http://dbpedia.org/resource/Object-oriented_programming
http://ROBOPROF.org/data#Privacy,privacy,http://dbpedia.org/resource/Privacy
http://ROBOPROF.org/data#Soen,soen,http://dbpedia.org/resource/Soen
http://ROBOPROF.org/data#Sony_NEWS,news,http://dbpedia.org/resource/Sony_NEWS
http://ROBOPROF.org/data#Commercial_off-the-shelf,cots,http://dbpedia.org/resource/Commercial_off-the-shelf
http://ROBOPROF.org/data#Integrated_circuit,lsi,http://dbpedia.org/resource/Integrated_circuit
http://ROBOPROF.org/data#United_States_Navy,navy,http://dbpedia.org/resource/United_States_Navy
http://ROBOPROF.org/data#Rational_Unified_Process,rup,http://dbpedia.org/resource/Rational_Unified_Process
http://ROBOPROF.org/data#University_of_Washington,washington,http://dbpedia.org/resource/University_of_Washington
http://ROBOPROF.org/data#Outsourcing,outsourcing,http://dbpedia.org/resource/Outsourcing
http://ROBOPROF.org/data#Outsourcing,outsource,http://dbpedia.org/resource/Outsourcing
http://ROBOPROF.org/data#Computer_program,programming,http://dbpedia.org/resource/Computer_program
http://ROBOPROF.org/data#Flush_toilet,wc,http://dbpedia.org/resource/Flush_toilet
http://ROBOPROF.org/data#Organizational_commitment,organizational commitment,http://dbpedia.org/resource/Organizational_commitment
http://ROBOPROF.org/data#Automation,automation,http://dbpedia.org/resource/Automation
http://ROBOPROF.org/data#Cardinality,cardinality,http://dbpedia.org/resource/Cardinality
http://ROBOPROF.org/data#Array_data_structure,vector,http://dbpedia.org/resource/Array_data_structure
http://ROBOPROF.org/data#Extreme_programming,xp,http://dbpedia.org/resource/Extreme_programming
http://ROBOPROF.org/data#Change_control,change control,http://dbpedia.org/resource/Change_control
http://ROBOPROF.org/data#Database,database,http://dbpedia.org/resource/Database
